timestamp,LS1_SIG-,LS1_SIG+,RTD1_L2,RTD1_L1,LS3_SIG-,LS3_SIG+,LS2_SIG-,LS2_SIG+,PT2_SIG,PT1_SIG,RTD2_L2,RTD2_L1,PT6_SIG,PT5_SIG,PT4_SIG,PT3_SIG
21:44:10.745804,4.990088342438739,5.0,0.09948493236123708,0.10038615469767506,4.990106223834303,5.0,4.989118574752638,5.0,0.821564891524898,0.9098840844493012,0.0997913002719045,0.1004177451631719,0.860731108275784,0.9313304342425387,0.9165729184833669,0.8948744410126735
21:44:10.846617,4.988970755215973,5.0,0.09997667073925384,0.1003527760926218,4.989997147321361,5.0,4.988973139402049,5.0,0.8679051241761594,0.8798290347849171,0.0995582460830505,0.10056437260679871,0.8729905930746308,0.9070439227871803,0.9163702626669721,0.7665700634205417
21:44:17.906385,4.989463685687028,5.0,0.09982289073740133,0.10059179074666388,4.989003537774508,5.0,4.989686011038543,5.0,0.8280927929988853,0.8461828048447139,0.09918154468316372,0.10032416585971901,0.9543139880077824,0.956164116402163,0.952562803335524,0.7280976448175485
21:44:11.046328,4.990299342906397,5.0,0.09992481469211753,0.10061265237482217,4.988703726375547,5.0,4.989054201728607,5.0,1.0393018769385667,0.8432764820190051,0.0993555902666557,0.10031164888282404,0.9436870746239513,0.9843237381367371,0.9939564459271963,0.7251656919915308
21:44:11.146901,4.989106653822262,5.0,0.0995433449200803,0.10083676586589407,4.9902755010456445,5.0,4.990046619182422,5.0,1.3093598257732184,0.827997425555876,0.09935737840621213,0.10056794888591156,0.9258086592922997,0.9939242594151807,1.0004092455398137,0.894888746129125
21:44:11.247420,4.991902111995472,5.0,0.09978832003931046,0.10064841516595066,4.989221690800392,5.0,4.987809656597335,5.0,1.5014060141332166,0.7817406394172477,0.09914876212462927,0.10069669493397412,0.8620477750358313,1.0169519206228161,0.9057695753299684,0.9114671840032558
21:44:11.347909,4.9901700008118155,5.0,0.09992421864559872,0.10090888749466986,4.990665315468945,5.0,4.98724698868358,5.0,1.8090166817923405,0.7006830812314846,0.09950460189635776,0.10019303562558121,0.8508355439705305,0.9721608128739373,0.961244816928484,0.9572304436243109
21:44:11.448550,4.9908006180287146,5.0,0.09983302352822107,0.10094703447187359,4.9872988447307165,5.0,4.986681340537231,5.0,2.1127125159159323,0.742632239178686,0.09951175445458346,0.10059953935140839,0.8599365782662127,1.3261844308596171,0.9746034115080132,0.9490848718982782
21:44:11.549064,4.988605378699944,5.0,0.0999230265525611,0.10099233400730301,4.990413187791489,5.0,4.986707566584059,5.0,2.201947832339744,0.6333912173975965,0.09890617119147434,0.100162637253122,0.7803655600983572,1.2814004756689639,0.9895045744782178,0.9672380646751004
21:44:11.649560,4.990345834534864,5.0,0.10004462004239797,0.10087372075006018,4.99135315315165,5.0,4.987388251708538,5.0,2.351256293208157,0.6147474783357952,0.09922267189296148,0.10020853283507022,0.7973332163492699,1.3089920650711138,1.055087572942683,0.9911442984514591
21:44:11.750223,4.990263580115268,5.0,0.09988487957535738,0.10056735283939275,4.992364048047548,5.0,4.988813994981527,5.0,2.643529491845309,0.7126630202130103,0.09968997236370711,0.10065497167765755,0.8052737480728325,1.310728348580402,1.0248650342065138,1.1944617264821202
21:44:11.850780,4.991078375706479,5.0,0.09939373724385943,0.10091246377378271,4.991328715244379,5.0,4.988176225206402,5.0,2.843602638674097,0.6784851167780299,0.09949446910553802,0.10043860679133018,0.7573420712163534,1.2889112578524657,1.0068417795707916,1.2343104164970418
21:44:11.951514,4.989861248715073,5.0,0.09932936421982815,0.1008677602848721,4.991086124311224,5.0,4.98838722567406,5.0,3.0331966916557187,0.6923342576425383,0.0991225360778017,0.1002431035331611,0.7886553750819415,1.4298136746661274,0.999873995765924,1.2700469815787054
21:44:12.052206,4.989579318711677,5.0,0.09955466980393765,0.10049403911757934,4.991946219437864,5.0,4.987577198455,5.0,3.1287340079228887,0.7953084463248784,0.09962798352575106,0.10036469702299797,0.8306551969832416,1.7086358915133346,0.9224636462287481,1.7507108152760047
21:44:12.153128,4.9879544959014055,5.0,0.10010243655472237,0.10065020330550709,4.993531703177894,5.0,4.988871811493851,5.0,3.2794932460180815,0.7331664244134932,0.09961367840929966,0.10022045376544639,0.7647324520030561,2.1569683738909213,0.9244061618335441,2.0876618728234617
21:44:12.253821,4.988077877530799,5.0,0.09984494445859723,0.10082842121463076,4.990575312444605,5.0,4.98817741729944,5.0,3.533589665125568,0.8933664433200887,0.09950817817547061,0.10016919376482888,0.6907302964604255,2.132419601967287,1.0232628611639574,2.1515574635931807
21:44:12.354445,4.984258411438276,5.0,0.0998574614354922,0.10109723819461325,4.992201327347914,5.0,4.988538025443319,5.0,3.547109192265176,0.8959061975367305,0.09865046723490563,0.09997547864621623,1.111909879673705,2.1038212899948707,0.9917671670636139,2.089320670285305
21:44:12.454977,4.982817170955798,5.0,0.09930254212648178,0.10097624075129519,4.99185800455308,5.0,4.988020061018474,5.0,3.60532088343154,0.6647760468454417,0.09944678538403336,0.10035158399958419,1.0889698373043344,2.151888269411119,0.9995938539020841,2.1102198493742765
21:44:12.555538,4.979536530916277,5.0,0.09965540166561623,0.10048569446631603,4.991446732455103,5.0,4.98886227474955,5.0,3.7840996723293867,0.7089126955166692,0.09917558421797563,0.10015906097400915,1.1279113445176296,2.2267141612427426,1.0429705432618313,2.1557846255045683
