timestamp,LS1_SIG-,LS1_SIG+,RTD1_L2,RT1_L1,LS3_SIG-,LS3_SIG+,LS2_SIG-,LS2_SIG+,PT1_SIG,PT1_SIG,RTD2_L2,RTD2_L1,PT6_SIG,PT5_SIG,PT4_SIG,PT3_SIG
04:01:22.666124,0.0011897088515411438,2.296119606032325,1.3856043083196055,4.416433503202618,4.444804721451368,0.32135430828980305,2.3813763119430913,0.1983016965748902,0.10151149052518493,0.040391092347036875,2.650672513326706,0.09976447817855813,0.7899368750973791,2.3309781945917836,0.17575385281489525,2.7483699021780374
04:01:22.766988,0.0011897088515411438,2.2911289085303435,1.3998313426770381,4.418568541832989,4.430997303843177,0.3444225006607176,2.375653073269495,0.3054166204233909,0.1286304150379199,0.040391092347036875,2.679389438556366,0.09930552235907582,0.7261974485155878,2.288371597334337,0.1490432201675439,2.7531245652585703
04:01:22.868026,0.0011897088515411438,2.285219703342879,1.4058460480983315,4.455465013440253,4.467219646837669,0.33765498848616937,2.3768678160748262,0.298713481272874,0.1286304150379199,0.038220886972056264,2.728427973798272,0.10738910524715248,0.7394869016989353,2.322885074959406,0.18215300824081998,2.7989748476713716
04:01:22.968808,0.0011897088515411438,2.2958287353311464,1.4107962144370334,4.458469683941565,4.5105486524759115,0.347220939066522,2.379184052846915,0.28554562157936353,0.12790145014541748,0.03709435905150879,2.7061257012040256,0.10539711778129551,0.7556737370102091,2.1891298519527735,0.20588519643368677,2.8378889367448017
04:01:23.069516,0.0011897088515411438,2.2921815266825587,1.4243973999497175,4.466663535435621,4.496717393006968,0.34217719342436714,2.459321911254157,0.29715779985878465,0.11724294629608945,0.0350934308878697,2.722890701638544,0.0962025041821604,0.7175976893422232,2.102456939513319,0.1886135564581819,2.8831920484533367
04:01:23.170285,0.0011897088515411438,2.498833834985952,1.4178897640573698,4.479974446293646,4.462539489571987,0.33768121453299693,2.4536380116508023,0.28799835300425924,0.120006814003803,0.03650904137003915,2.7270970019217735,0.09178639552431053,0.7505733669487675,1.9804640985088464,0.1534092609178139,2.9082522282901078
04:01:23.270984,0.0011897088515411438,2.500552237099676,1.5685047588950107,4.471012886883364,4.498969256755025,0.3271449002200246,2.448345714610304,0.29254976422187856,0.1286304150379199,0.03668845137220041,2.7614221288468994,0.08357466263469011,0.7760656805116749,2.0268240006952287,0.15723766770811887,2.89777373048946
04:01:23.371852,0.0011897088515411438,2.495642005877734,1.5568973489877402,4.457410509277643,4.447906547535246,0.3298336660663684,2.439160041708951,0.29816154219645763,0.1286304150379199,0.03374457761580677,2.7664527614656405,0.0896960603828502,0.6503469527181331,2.097781550619787,0.09164155622024014,2.868756397814321
04:01:23.472952,0.0011897088515411438,2.496058046347862,1.5691991530894223,4.446147018211724,4.387227223781016,0.3315419353892726,2.440331869164928,0.31188134096638453,0.1286304150379199,0.030796531533781472,2.8079858789427137,0.09770454140955703,0.5747390478538332,2.1186592720340816,0.09830714444007212,2.846367698474848
04:01:23.573850,0.0011897088515411438,2.3883887992368695,1.5545346205871846,4.42506962121363,4.332776586148332,0.34119490876137126,2.4419680168590565,0.3144717591371249,0.1286304150379199,0.03065884478793678,2.7906617868735535,0.09271086367498203,0.4157794017528774,2.144754188627504,0.12926043620830013,2.8196141504781425
04:01:23.674428,0.0,2.263538511221231,1.5657969195600652,4.415687849007589,4.281411085296999,0.34163836737136455,2.441820793368911,0.3052062160022516,0.1286304150379199,0.029857162220139767,2.7742794483041107,0.1052427417329242,0.2703726613965823,2.1703877652153687,0.08954049224144127,2.8241452961141222
04:01:23.774911,0.0011897088515411438,2.1539219801332927,1.597598981571076,4.436634115771546,4.2775785061810625,0.3717524256411106,2.445313029922608,0.3221893694626533,0.1240664868434056,0.03958881373272106,2.744825213530685,0.0927519908847798,0.14866949900025117,2.207391525196019,0.14686526618781878,2.7970794197415616
04:01:23.875394,0.0011897088515411438,2.0847817760445806,1.6105665696342668,4.4576095888149245,4.279543671553573,0.3854293090616833,2.4493792592739174,0.29390517400564836,0.11943818562486,0.040391092347036875,2.7451721126046316,0.10331631938413613,0.009917021979930636,2.2344323676147897,0.10711134756938787,2.787130211249615
04:01:23.975983,0.0011897088515411438,1.9678147992866992,1.6095795165991205,4.461854632121876,4.254906684745155,0.3815991141318219,2.453806692815625,0.31144563096113576,0.1286304150379199,0.040391092347036875,2.7274474772748327,0.10738910524715248,0.06593406986404299,2.2415092279325997,0.14802815294601357,2.7845499258696944
04:01:24.076804,0.0,1.98502862274988,1.6049452549153869,4.446663194497012,4.278322372236535,0.3896445500426948,2.5794103836310365,0.30012491942941183,0.12425066521771733,0.03986418722441044,2.7319470324453157,0.0944638364867969,0.08040488724766817,2.438004903555501,0.13028205994153738,2.7936461917932265
04:01:24.177748,0.0011897088515411438,2.0040407185603044,1.5899087893854127,4.440543584888409,4.304243243246465,0.3962761636109547,2.5819829204062126,0.2847552638954239,0.12357534451190763,0.0377279565010019,2.7573177525183863,0.10738910524715248,0.0477665719707694,2.5310614742113917,0.21717074122080102,2.8172406932402483
04:01:24.278557,0.0,1.9956281179938458,1.5998776674124797,4.435914091576826,4.269985469577964,0.3785080168852827,2.5806346631806685,0.2894664155800838,0.12464107568753668,0.03823459604198885,2.73625585272978,0.08585930894128191,0.056341297190343996,2.6499042093639624,0.23757162542004887,2.985833643178182
